time,lane,decision,ask,reason,cpuPct,freeGiB,totalGiB,memPct,guests,guestOwners,renode,qemu,pwshBuild
2026-09-08 02:47,fester,GO,"full rehearsal, serial ~20 min","Damian: the box has room, do not wait; logged after the fact as the first row",36,4.94,15.77,69,1,fester,3,0,0
2026-09-08 02:50,val,GO,"1 guest 45 s, WORKS-48 mouse timeline","serial single guest; fester rehearsal serial beside it; above 3 GiB free",35,4.87,15.77,69,2,fester+val,3,0,0
2026-09-08 04:05,blu,GO,"2 serial guests, coaps-loopback compile+run","serial single guests are self-serve above 3 GiB free",29,6.54,15.77,59,2,fester+reek,0,0,2
2026-09-08 04:12,red,HOLD,"BVT -Jobs 4 (fan-out) on COMPILER-63 candidate","fester's flight-image rehearsal running serial; a fan-out beside a rehearsal is the one overlap that reds rehearsals",19,6.44,15.77,59,3,fester+reek+reek,0,0,2
2026-09-08 04:19,red,GO,"BVT -Jobs 4 (fan-out) on COMPILER-63 candidate","Damian lifted root's hold: 'run the bvt, the box has plenty'; fester's flight rehearsal still serial beside it",38,3.46,15.77,78,1,red,0,1,4
2026-09-08 04:20,reek,DEFER,"riscv Renode fan-out -Jobs 8, then 3, then 2","killed for memory three times beside red's BVT (8 codex-vm) and fester's OVMF; reek falls back to a serial named sample",21,5.74,15.77,64,0,,1,0,0
2026-09-08 05:07,red,GO,"BVT -Jobs 4 on the eq-generic-fields candidate, ~20 min","box empty, 6.2 GiB free, fester between rehearsals; serial rehearsal beside a fan-out survived earlier tonight, only fan-out beside fan-out killed",6,6.23,15.77,60,0,,0,0,0
2026-09-08 05:16,red,GO,"BVT -Jobs 4 against the depot seed, ~30 s (COMPILER-65 proof)","short fan-out; log the box as found",3,6.7,15.77,58,0,,0,0,0
2026-09-08 05:49,red,GO,"bvt.ps1 -Jobs 4 on COMPILER-66 candidate, 4 guests ~35 s","one fester serial guest up (launched between the two reads), 5.0 GiB free, no other fan-out",13,4.95,15.77,69,1,fester,0,0,1
2026-09-08 08:43,val,HOLD,"check-subset-cites -Jobs 8, 8 guests few min","blu's release full gate build.ps1 pid 12176 running in blu-main, fans out 4+ guests; fan-out beside fan-out is the kill; single-guest compile granted",6,5.41,15.77,66,0,,0,0,1
2026-09-08 08:45,val,GO,"3 serial single-guest arms (usb-kbd-connect, usb-bot, cam-capture)","serial beside blu's release gate; serial beside anything survived; self-serve bar 3 GiB before each launch",24,4.69,15.77,70,1,blu,0,0,2
2026-09-08 09:01,red,GO,"BVT -Jobs 4 on 19DE3968, 4 guests ~8 min","no -File fan-out running (two -Command tool shells only), 1 serial guest (blu bisect), 5.9 GiB free",13,5.86,15.77,63,0,,0,0,0
2026-09-08 09:14,red,GO,"BVT -Jobs 4 on E0B6407C, 4 guests ~1 min","no fan-out running, 0 guests, 6.01 GiB free",6,5.99,15.77,62,0,,0,0,0
2026-09-08 09:40,val,HOLD,"1 serial guest, DeskVm compile","release gate parallel phase, 4 guests, 2.11 GiB free, under the 3 GiB floor; bump at gate exit, FIFO 1",22,2.1,15.77,87,4,blu+blu+blu+blu,0,0,2
2026-09-08 09:40,red,HOLD,"1 serial guest ~20 min corpus IR diff, then BVT -Jobs 4","release gate parallel phase, 4 guests, 2.11 GiB free; red's guest died at 2.3 GiB beside the fan-out; bump at gate exit, FIFO 2",21,2.05,15.77,87,4,blu+blu+blu+blu,0,0,2
2026-09-08 09:56,fleet,HOLD,"every non-release guest (red diff, fester seed chain, val DeskVm arm)","release gate 3 died at the stage-1 CDX compile with no diagnostic while three lanes' serial guests ran beside it; overcommit read; no other guest until gate 4 ends",10,5.97,15.77,62,0,,0,0,0
2026-09-08 10:15,fleet,GO,"lift: red serial diff, fester BVT -Jobs 4, val 3 desk arms + fix, reek one -Only","gate 4 exited 10:15 (1 runtime fail, desk-cursor-arrow); 0 guests, 6.7 GiB free; one fan-out (fester) beside serial singles",2,6.71,15.77,57,0,,0,0,0
2026-09-08 10:19,fleet,HOLD,"every non-release guest for the whole of gate 5","gate 3 died beside three serial lanes, gate 4 ran clean on a held box; gate 5 on 23978 gets the same",13,5.86,15.77,63,0,,0,0,0
2026-09-08 10:46,fleet,GO,"one non-release serial guest at a time, FIFO val, red, fester, reek, beside blu's remaining proofs","Damian 10:47: agents look bored; the whole-gate hold narrows to one serial slot; gate 5 proved every phase but the app sweep",12,5.98,15.77,62,0,,0,0,0
2026-09-08 11:11,fleet,GO,"one lane guest at a time beside blu's serial proofs: reek -Only, fester -Diff, red diff","battery exited green 11:11 (1739/0/49); 0 guests, 5.0 GiB free",13,4.97,15.77,69,0,,0,0,0
2026-09-08 11:29,red,GO,"BVT -Jobs 4 on D3A32533, 4 guests ~1 min","no fan-out (blu's DDC is one guest + dotnet), 0 guests, 6.46 GiB",9,6.46,15.77,59,0,,0,0,0
2026-09-08 12:37,red,GO,"BVT -Jobs 4 on 559D4B61, 4 guests ~1 min","0 guests, 4.37 GiB free, no fan-out; after red's serial sign/self-verify ends; launch detached so a tool-call end cannot kill it",9,4.07,15.77,74,1,val,0,0,0
2026-09-08 13:31,red,GO,"BVT -Jobs 4 on C521BBA7 (COMPILER-69), 4 guests ~1 min","no fan-out up; fester's rehearsal is one serial guest; 0 guests, 3.99 GiB",9,3.99,15.77,75,0,,0,0,1
2026-09-08 13:58,val,HOLD,"1 guest ~30 s, desk-pointer-bed probe","fester's load control (rehearsal + BVT -Jobs 4) up, 1.68 GiB free; GO on val's own check once the BVT exits and free is above 3 GiB",37,1.43,15.77,91,7,fester+fester+fester+fester+fester+fester+fester,1,0,2
2026-09-08 14:07,red,GO,"BVT -Jobs 4 on FE2AE272 (COMPILER-71)","0 guests, 5.42 GiB, no fan-out; granted by the handed-off root as its last act",7,5.42,15.77,66,0,,0,1,1
2026-09-08 15:06,red,GO,"BVT -Jobs 4 on COMPILER-20 candidate 064E8C7C","0 guests, free memory measured above 5 GiB, no other fan-out",10,5.63,15.77,64,1,val,0,0,0
2026-09-08 15:18,red,GO,"BVT -Jobs 4 on COMPILER-23-residue candidate 60D7377C","measured 5.5 GiB free, no other fan-out",14,5.46,15.77,65,0,,0,0,0
2026-09-08 15:47,red,GO,"BVT -Jobs 4 on COMPILER-73 stage 4","measured 5.2 GiB free, Edge down, no other fan-out",17,5.2,15.77,67,0,,4,0,0
